"","id_estado","ANIO","estado","poblacion"
"158",5,2018,"Coahuila de Zaragoza",3067095
"159",5,2019,"Coahuila de Zaragoza",3106933
"160",5,2020,"Coahuila de Zaragoza",3146771
"161",6,1989,"Colima",416606
"162",6,1990,"Colima",428510
"163",6,1991,"Colima",440414
"164",6,1992,"Colima",452317
"165",6,1993,"Colima",464221
"166",6,1994,"Colima",476124
"167",6,1995,"Colima",488028
"168",6,1996,"Colima",498948
"169",6,1997,"Colima",509868
"170",6,1998,"Colima",520787
"171",6,1999,"Colima",531707
"172",6,2000,"Colima",542627
"173",6,2001,"Colima",547701
"174",6,2002,"Colima",552775
"175",6,2003,"Colima",557848
"176",6,2004,"Colima",562922
"177",6,2005,"Colima",567996
"178",6,2006,"Colima",584508
"179",6,2007,"Colima",601020
"180",6,2008,"Colima",617531
"181",6,2009,"Colima",634043
"182",6,2010,"Colima",650555
"183",6,2011,"Colima",658639
"184",6,2012,"Colima",666722
"185",6,2013,"Colima",674806
"186",6,2014,"Colima",682889
"187",6,2015,"Colima",690973
"188",6,2016,"Colima",699057
"189",6,2017,"Colima",707140
"190",6,2018,"Colima",715224
"191",6,2019,"Colima",723307
"192",6,2020,"Colima",731391
"193",7,1989,"Chiapas",3135638
"194",7,1990,"Chiapas",3210496
"195",7,1991,"Chiapas",3285354
"196",7,1992,"Chiapas",3360212
"197",7,1993,"Chiapas",3435070
"198",7,1994,"Chiapas",3509928
"199",7,1995,"Chiapas",3584786
"200",7,1996,"Chiapas",3652007
"201",7,1997,"Chiapas",3719228
"202",7,1998,"Chiapas",3786450
"203",7,1999,"Chiapas",3853671
"204",7,2000,"Chiapas",3920892
"205",7,2001,"Chiapas",3995405
"206",7,2002,"Chiapas",4069919
"207",7,2003,"Chiapas",4144432
"208",7,2004,"Chiapas",4218946
"209",7,2005,"Chiapas",4293459
"210",7,2006,"Chiapas",4394083
"211",7,2007,"Chiapas",4494707
"212",7,2008,"Chiapas",4595332
"213",7,2009,"Chiapas",4695956
"214",7,2010,"Chiapas",4796580
"215",7,2011,"Chiapas",4871305
"216",7,2012,"Chiapas",4946030
"217",7,2013,"Chiapas",5020754
"218",7,2014,"Chiapas",5095479
"219",7,2015,"Chiapas",5170204
"220",7,2016,"Chiapas",5244929
"221",7,2017,"Chiapas",5319654
"222",7,2018,"Chiapas",5394378
"223",7,2019,"Chiapas",5469103
"224",7,2020,"Chiapas",5543828
"225",8,1989,"Chihuahua",2371540
"226",8,1990,"Chihuahua",2441873
"227",8,1991,"Chihuahua",2512206
"228",8,1992,"Chihuahua",2582539
"229",8,1993,"Chihuahua",2652871
"230",8,1994,"Chihuahua",2723204
"231",8,1995,"Chihuahua",2793537
"232",8,1996,"Chihuahua",2845411
"233",8,1997,"Chihuahua",2897285
"234",8,1998,"Chihuahua",2949159
"235",8,1999,"Chihuahua",3001033
"236",8,2000,"Chihuahua",3052907
"237",8,2001,"Chihuahua",3090614
"238",8,2002,"Chihuahua",3128322
"239",8,2003,"Chihuahua",3166029
"240",8,2004,"Chihuahua",3203737
"241",8,2005,"Chihuahua",3241444
"242",8,2006,"Chihuahua",3274448
"243",8,2007,"Chihuahua",3307452
"244",8,2008,"Chihuahua",3340457
"245",8,2009,"Chihuahua",3373461
"246",8,2010,"Chihuahua",3406465
"247",8,2011,"Chihuahua",3440005
"248",8,2012,"Chihuahua",3473546
"249",8,2013,"Chihuahua",3507086
