,ID_ENTIDAD,ANIO,Agua,Aportaciones Federales,Aportaciones federales,Aprovechamientos,Contribuciones de Mejoras,Cuotas y Aportaciones de Seguridad Social,Derecho adicional sobre extracción del petróleo,Derechos,Escuelas,FA Múltiples,FA para Educación Tecnológica y Adultos,FA para Infraestructura Social Estatal,FA para Nómina Educativa y Gasto Operativo,FA para el Fortalecimiento de los Municipios,FA para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales de la Ciudad de México,FA para la Infraestructura Social Municipal,FA para la Seguridad Pública,FA para los Servicios de Salud,Financiamiento,Fondo de Extracción de Hidrocarburos,Hospitales,Impuestos,Inversión pública,Participaciones federales,Productos,Recursos federales reasignados,Servicios de limpieza y manejo de desechos,Servicios personales,Total de egresos,Total de ingresos,Ingresos_menos_finanzas
23,1,2012,1715165,10383269000,0,276469000,0,0,0,421375000.0,179760000.0,199000000,82345000,21901000,3517420000,537287000,252700000,157711000,115700000,1155221000,491068000,0,26900000.0,655250000,3596688000,5675190000,49058000,4343984000,11293207,1126860284,18177450000,18177450000,17686382000
24,1,2013,1818778,12053824196,0,174051000,37800000,0,0,164964955.5,245396859.0,274458000,84524000,23990000,3671695000,580337000,272268000,173961000,119300000,1192859000,208700000,0,11784898.0,836986000,3071801946,6001031000,46309000,5660432196,11299594,1169774788,19791612196,19791612196,19582912196
25,1,2014,1744505,11444630000,0,206176000,193098000,0,0,378109000.0,4174793.0,262082207,90297105,28401149,3837759352,615476877,290411906,205903697,127175711,1293316727,0,0,0.0,857351000,4322435843,6312721001,73631000,4693805269,12013903,1203028134,21075072001,21075072001,21075072001
26,1,2015,1890590,12189381000,0,184480000,0,0,0,422779000.0,25315000.0,269802000,94322000,29030000,5277241000,623028000,288852000,210460000,130810000,1398964000,180000000,0,8920000.0,923972000,2728521608,7000065000,62010000,3866872000,13201548,1278406801,22524089000,22524089000,22344089000
27,1,2016,1770705,12688986658,0,621785083,0,0,0,460399960.0,0.0,270577000,99613000,33670000,5378276000,655320000,293808000,244100000,105560000,1442808000,154100000,0,0.0,926440069,1247539446,7898881108,81403122,4165254658,11394095,1132656504,24431871000,24431871000,24277771000
28,1,2017,2144947,11670787551,0,747401293,0,0,0,453786581.0,0.0,287453701,102158196,41204467,5561919569,719515298,314284642,298725660,109932038,1495169672,1835166779,0,0.0,933900058,1152789098,8201582178,167109640,2740424308,9907311,1045820693,25969769080,25969769080,24134602301
29,1,2018,2180493,13458990323,0,1233728863,0,0,0,710483865.0,0.0,386112000,111426779,38680000,5843452000,784812000,326448000,280390000,115430000,1562998000,0,0,0.0,1061607831,1761165114,9219521337,214177879,4009241544,10327775,1191739912,27743639098,27743639098,27743639098
30,1,2019,4297672,12454613408,0,251613079,0,0,0,684775786.0,0.0,391560000,114699517,46010000,6053412000,890939377,361860000,333566306,177800000,1616313000,1150386236,0,0.0,1232266773,1246757374,9318097240,226160784,2468453208,12398251,1380155350,25317913306,25317913306,24167527070
31,1,2020,2609297,12803535645,0,696497493,0,0,0,611461216.0,0.0,315081431,124198100,71616074,6250738882,920862663,373570365,519149627,192800426,1704635914,345344150,0,0.0,1408973919,749085607,10017305831,162493900,2330882163,15849479,1490805783,26045612154,26045612154,25700268004
32,2,1989,0,35155625,0,7663110,0,484396304,0,23736631.0,399161.0,0,0,0,0,0,0,0,0,0,388422741,0,0.0,19736331,39892917,451953188,17501207,35155625,0,249542881,1428565137,1428565137,1040142396
33,2,1990,0,48615679,0,17214623,0,655038726,0,38230177.0,726153.0,0,0,0,0,0,0,0,0,0,469571196,0,0.0,34048747,91721629,634502115,9006089,48615679,0,348013369,1907259927,1907259927,1437688731
34,2,1991,0,86208522,0,23041038,0,807772959,0,53282337.0,3331788.0,0,0,0,0,0,0,0,0,0,824624164,0,0.0,55006008,155672307,781571463,6288511,86208522,0,490257011,2637924634,2637924634,1813300470
35,2,1992,0,228706373,0,37636518,0,2457485121,0,82220648.0,17755000.0,0,0,0,0,0,0,0,0,0,121427435,0,0.0,86979802,206713974,928455127,10968723,228706373,0,621753152,3954175027,3954175027,3832747592
36,2,1993,0,303662000,0,27525000,0,2736953000,0,70010000.0,17816000.0,0,0,0,0,0,0,0,0,0,146227000,0,0.0,90583000,218188000,944227000,10248000,303662000,0,717055000,4330172000,4330172000,4183945000
37,2,1994,0,327055000,0,40087000,0,2919500000,0,77559000.0,15808000.0,0,0,0,0,0,0,0,0,0,445454000,0,0.0,103352000,221786000,1101146000,41443000,327055000,0,772018000,5055908000,5055908000,4610454000
38,2,1995,0,419534000,0,34851000,0,2804627000,0,80798000.0,23677000.0,0,0,0,0,0,0,0,0,0,54592000,0,0.0,123297000,218655000,1507271000,68407000,419534000,0,1054552000,5105705000,5105705000,5051113000
39,2,1996,17975000,481078000,0,44375000,0,4850319000,0,100168000.0,27235000.0,0,0,0,0,0,0,0,0,0,7515000,0,0.0,164216000,160731000,1845552000,94753000,481078000,0,1215090000,7605446000,7605446000,7597931000
40,2,1997,25581000,630038000,0,48990000,0,6716088000,0,123984000.0,12046000.0,0,0,0,0,0,0,0,0,0,11648000,0,0.0,236518000,237257000,2525293000,101287000,630038000,0,1716697000,10616342000,10616342000,10604694000
41,2,1998,28958000,3612094000,0,67858000,0,6286526000,0,267273000.0,55799000.0,62196000,0,8681000,2283668000,155983000,0,125862000,0,287708000,22500000,0,0.0,313507000,322262000,3108822000,148438000,687996000,0,2094916000,14150885000,14150885000,14128385000
42,2,1999,35780000,4266955000,0,261353000,0,7812330000,0,283325000.0,73516000.0,83492000,5096000,9220000,2704862000,334634000,0,117712000,207569000,396139000,0,0,0.0,399167000,559673000,3828658000,145260000,408231000,0,2554758000,17319541000,17319541000,17319541000
43,2,2000,43278000,5900023000,0,330724000,0,9353446000,0,322092000.0,177596000.0,106169000,61156000,10581000,3543898000,384014000,0,76714000,227036000,498733000,0,0,0.0,613203000,1016991000,4927764000,170997000,991722000,0,3046637000,21843408000,21843408000,21843408000
44,2,2001,64500868,6803423662,0,291238000,0,0,0,344429000.0,0.0,114613499,85562313,12614266,3968942772,502195594,0,91463820,239039736,556419662,404709858,0,0.0,680327000,550717012,5330079000,141520000,1232572000,0,3659666799,13995726520,13995726520,13591016662
45,2,2002,65269998,7384336000,0,380310000,0,403998000,0,397274000.0,0.0,140971000,91584000,19487920,4265561000,573071000,0,141305080,200194000,589315000,0,0,0.0,752580840,736293755,5517891000,64260000,1362847000,0,4174987416,15251900840,15251900840,15251900840
46,2,2003,43126403,8516693824,0,379872734,0,718000,0,495527664.0,0.0,131086121,96391365,19913797,4856786149,587507411,0,144391440,105511520,679228123,0,0,0.0,818534971,701581728,6481774603,71786756,1895877898,0,4632050282,17041524078,17041524078,17041524078
47,2,2004,21822201,8856129587,0,482854329,14350366,0,0,791524148.0,136914932.0,178238796,103517197,20982072,4869250302,681184764,0,152137336,167716130,747932745,998155910,0,0.0,953337825,1171537323,7069571894,132522560,1935170245,5244529,5054621939,19298446619,19298446619,18300290709
48,2,2005,16245466,10102650862,0,566591882,32311935,0,0,734430694.0,0.0,211971587,110872058,23773076,5162688303,788036321,0,172374415,205887167,783333409,106168877,0,0.0,1036449134,892404746,8025369865,160146136,2643714526,7133711,5722830464,20764119385,20764119385,20657950508
49,2,2006,14146500,11291488321,0,560005560,60150251,0,0,827925481.0,0.0,261251186,117971451,25429352,5670886964,860307465,0,184383781,205887167,849697546,102242272,0,0.0,1134038433,1425975849,9169511830,176997635,3115673409,7597182,6131149492,23322359783,23322359783,23220117511
50,2,2007,70818362,11358520803,0,675557821,63100606,0,0,895627618.0,0.0,329869560,123303453,28448617,6062896012,905315144,790787293,206275947,205887167,927029579,915000000,0,0.0,1280240372,1301754112,9441654253,174687889,1778708031,10610459,6687540613,24804389362,24804389362,23889389362
51,2,2008,70300082,12279309810,0,473145468,58767411,0,0,882888332.0,0.0,361282460,133666908,34151719,6406119418,1114129528,851840213,247628139,244070872,979742432,80000413,0,0.0,1326020384,814825557,11812922304,246172879,1906678121,11667435,7338737978,27159227001,27159227001,27079226588
52,2,2009,81583466,15122485904,0,304611652,91508692,0,0,767448368.0,0.0,477086067,141116776,35552581,7114123995,1182662802,869593288,257785548,281577163,1060581364,262964857,0,0.0,1250609439,618816090,10595652077,120229319,3702406320,13868700,7991726475,28515510308,28515510308,28252545451
53,2,2010,85193917,15147377291,0,242076945,58181503,0,0,1126097745.0,0.0,451688690,147693953,36913716,7418424006,1250683885,910561455,267654899,281364901,1146477568,1436316416,0,0.0,1380895979,1080681195,12301828332,133716607,3235914218,16885373,8911676772,31857992165,31857992165,30421675749
54,2,2011,93120024,15907944548,0,172452899,55506237,0,0,939141616.0,0.0,472500000,157668694,41419944,7874265106,1331575094,976526389,300328770,290097313,1329536919,1514000000,0,0.0,1762861136,984145452,13257614718,143840574,3134026319,18011191,9541833950,33789101182,33789101182,32275101182
55,2,2012,93256366,14665259320,0,213905272,40543997,0,0,976043716.0,626688392.0,529844036,176900000,26579499,8440966667,1432260453,1022601502,192723300,296884121,1550101805,2765753603,0,0.0,2091220860,1942751008,15849960732,165277094,996397937,18192813,11662788166,36767964594,36767964594,34002210991
56,2,2013,86943177,16524586240,0,693145188,62081429,0,0,947777420.0,258169458.5,312312360,168117000,29453495,8972256946,1548736401,1077749771,213562144,306187528,1601387134,2714707960,0,1265254.0,2169076993,2126038167,16008313009,143909592,2294823461,18221299,12251026958,39263597831,39263597831,36548889871
57,2,2014,88796763,18157285504,0,695733090,23785150,0,0,966383552.0,133181763.5,420738667,181573914,35700736,9507987164,1662006375,1121139717,258824511,318943675,1747265492,2967956688,0,0.0,2366102792,624443066,15978819403,231738518,2903105253,18020719,12733979923,41387804697,41387804697,38419848009
