,ID_ENTIDAD,ANIO,Agua,Aportaciones Federales,Aprovechamientos,Contribuciones de Mejoras,Cuotas y Aportaciones de Seguridad Social,Derechos,Escuelas,Financiamiento,Hospitales,Impuestos,Inversión pública,Participaciones federales,Productos,Servicios de limpieza y manejo de desechos,Total de egresos,Total de ingresos,Ingresos_menos_finanzas
39,2,1997,25581000,630038000,48990000,0,6716088000,123984000.0,12046000.0,11648000,0.0,236518000,237257000,2525293000,101287000,0,10616342000,10616342000,10604694000
40,2,1998,28958000,3612094000,67858000,0,6286526000,267273000.0,55799000.0,22500000,0.0,313507000,322262000,3108822000,148438000,0,14150885000,14150885000,14128385000
41,2,1999,35780000,4266955000,261353000,0,7812330000,283325000.0,73516000.0,0,0.0,399167000,559673000,3828658000,145260000,0,17319541000,17319541000,17319541000
42,2,2000,43278000,5900023000,330724000,0,9353446000,322092000.0,177596000.0,0,0.0,613203000,1016991000,4927764000,170997000,0,21843408000,21843408000,21843408000
43,2,2001,64500868,6803423662,291238000,0,0,344429000.0,0.0,404709858,0.0,680327000,550717012,5330079000,141520000,0,13995726520,13995726520,13591016662
44,2,2002,65269998,7384336000,380310000,0,403998000,397274000.0,0.0,0,0.0,752580840,736293755,5517891000,64260000,0,15251900840,15251900840,15251900840
45,2,2003,43126403,8516693824,379872734,0,718000,495527664.0,0.0,0,0.0,818534971,701581728,6481774603,71786756,0,17041524078,17041524078,17041524078
46,2,2004,21822201,8856129587,482854329,14350366,0,791524148.0,136914932.0,998155910,0.0,953337825,1171537323,7069571894,132522560,5244529,19298446619,19298446619,18300290709
47,2,2005,16245466,10102650862,566591882,32311935,0,734430694.0,0.0,106168877,0.0,1036449134,892404746,8025369865,160146136,7133711,20764119385,20764119385,20657950508
48,2,2006,14146500,11291488321,560005560,60150251,0,827925481.0,0.0,102242272,0.0,1134038433,1425975849,9169511830,176997635,7597182,23322359783,23322359783,23220117511
49,2,2007,70818362,11358520803,675557821,63100606,0,895627618.0,0.0,915000000,0.0,1280240372,1301754112,9441654253,174687889,10610459,24804389362,24804389362,23889389362
50,2,2008,70300082,12279309810,473145468,58767411,0,882888332.0,0.0,80000413,0.0,1326020384,814825557,11812922304,246172879,11667435,27159227001,27159227001,27079226588
51,2,2009,81583466,15122485904,304611652,91508692,0,767448368.0,0.0,262964857,0.0,1250609439,618816090,10595652077,120229319,13868700,28515510308,28515510308,28252545451
52,2,2010,85193917,15147377291,242076945,58181503,0,1126097745.0,0.0,1436316416,0.0,1380895979,1080681195,12301828332,133716607,16885373,31857992165,31857992165,30421675749
