"","ID_ENTIDAD","ANIO","estado","poblacion","Agua","Aprovechamientos","Contribuciones.de.Mejoras","Cuotas.y.Aportaciones.de.Seguridad.Social","Derechos","Escuelas","Financiamiento","Hospitales","Impuestos","Inversion.publica","Productos","Servicios.de.limpieza.y.manejo.de.desechos","Total.de.egresos","Total.de.ingresos","Ingresos_menos_finanzas","Ingresos_propios","Ingresos_propios_pc","Inversion_publica_pc","Total_de_egresos_pc","Total_de_ingresos_pc","limpieza_pc","educacion_pc","hopsitales_pc"
"22",1,2010,"Aguascalientes",1184996,1290848,6817836,0,0,236766816,66368549,299843256,499626822,496502562,2247800674,23975863,9433986,13440704501,13440704501,13140861245,764063077,644.781144408926,1896.88460889319,11342.4049541096,11342.4049541096,7.96119649349027,56.0074034005178,421.627433341547
"23",1,2011,"Aguascalientes",1209057,1520114,18803000,0,0,359634000,47518000,341979000,461617000,556580000,2605437000,25028000,9116660,16447824000,16447824000,16105845000,960045000,794.044449517268,2154.93314210993,13603.8449800133,13603.8449800133,7.54030620558005,39.3017037244729,381.799203842333
"24",1,2012,"Aguascalientes",1233118,1715165,276469000,0,0,421375000,179760000,491068000,26900000,655250000,3596688000,49058000,11293207,18177450000,18177450000,17686382000,1402152000,1137.07852776458,2916.74276103341,14741.046680042,14741.046680042,9.15825330584745,145.776803193206,21.8146195254631
"25",1,2013,"Aguascalientes",1257179,1818778,174051000,37800000,0,164964955.5,245396859,208700000,11784898,836986000,3071801946,46309000,11299594,19791612196,19791612196,19582912196,1260110955.5,1002.33217027965,2443.40857268535,15742.8752755176,15742.8752755176,8.98805500250959,195.196435034311,9.37408117698434
"26",1,2014,"Aguascalientes",1281240,1744505,206176000,193098000,0,378109000,4174793,0,0,857351000,4322435843,73631000,12013903,21075072001,21075072001,21075072001,1708365000,1333.36845555868,3373.63479363741,16448.9650658737,16448.9650658737,9.37677796509631,3.25840045580844,0
"27",1,2015,"Aguascalientes",1305302,1890590,184480000,0,0,422779000,25315000,1.8e+08,8920000,923972000,2728521608,62010000,13201548,22524089000,22524089000,22344089000,1593241000,1220.59186303246,2090.33741463661,17255.8450075155,17255.8450075155,10.1137882267858,19.3939793243249,6.83366761102029
"28",1,2016,"Aguascalientes",1329363,1770705,621785083,0,0,460399960,0,154100000,0,926440069,1247539446,81403122,11394095,24431871000,24431871000,24277771000,2090028234,1572.20280239483,938.449051162098,18378.6302161261,18378.6302161261,8.57109382463631,0,0
"29",1,2017,"Aguascalientes",1353424,2144947,747401293,0,0,453786581,0,1835166779,0,933900058,1152789098,167109640,9907311,25969769080,25969769080,24134602301,2302197572,1701.01725106101,851.757540874109,19188.1990270603,19188.1990270603,7.32018273652603,0,0
"30",1,2018,"Aguascalientes",1377485,2180493,1233728863,0,0,710483865,0,0,0,1061607831,1761165114,214177879,10327775,27743639098,27743639098,27743639098,3219998438,2337.59237886438,1278.53669114364,20140.7921668838,20140.7921668838,7.49755895708483,0,0
"31",1,2019,"Aguascalientes",1401546,4297672,251613079,0,0,684775785,0,1150386237,0,1232266773,1246757374,226160784,12398251,25317913306,25317913306,24167527069,2394816421,1708.69626897726,889.558654514372,18064.2756684404,18064.2756684404,8.84612492205036,0,0
"32",2,1989,"Baja California",1570598,0,7663110,0,484396304,23736631,399161,388422741,0,19736331,39892917,17501207,0,1428565137,1428565137,1040142396,553033583,352.116571522439,25.3998266902161,909.567653212343,909.567653212343,0,0.254145873100564,0
"33",2,1990,"Baja California",1660855,0,17214623,0,655038726,38230177,726153,469571196,0,34048747,91721629,9006089,0,1907259927,1907259927,1437688731,753538362,453.705086837803,55.2255488889759,1148.36028852609,1148.36028852609,0,0.437216373494375,0
"34",2,1991,"Baja California",1751112,0,23041038,0,807772959,53282337,3331788,824624164,0,55006008,155672307,6288511,0,2637924634,2637924634,1813300470,945390853,539.880289210513,88.8991149623782,1506.42827757448,1506.42827757448,0,1.90266984636048,0
"35",2,1992,"Baja California",1841369,0,37636518,0,2457485121,82220648,17755000,121427435,0,86979802,206713974,10968723,0,3954175027,3954175027,3832747592,2675290812,1452.8814224634,112.261026442826,2147.41044679258,2147.41044679258,0,9.64228245397853,0
"36",2,1993,"Baja California",1931626,0,27525000,0,2736953000,70010000,17816000,146227000,0,90583000,218188000,10248000,0,4330172000,4330172000,4183945000,2935319000,1519.61042147911,112.955613560803,2241.72381195946,2241.72381195946,0,9.22331755733253,0
"37",2,1994,"Baja California",2021883,0,40087000,0,2919500000,77559000,15808000,445454000,0,103352000,221786000,41443000,0,5055908000,5055908000,4610454000,3181941000,1573.75130014942,109.692796269616,2500.59375344666,2500.59375344666,0,7.81845438138606,0
"38",2,1995,"Baja California",2112140,0,34851000,0,2804627000,80798000,23677000,54592000,0,123297000,218655000,68407000,0,5105705000,5105705000,5051113000,3111980000,1473.37771170472,103.522967227551,2417.31371973449,2417.31371973449,0,11.2099576732603,0
"39",2,1996,"Baja California",2187185,17975000,44375000,0,4850319000,100168000,27235000,7515000,0,164216000,160731000,94753000,0,7605446000,7605446000,7597931000,5253831000,2402.09721628486,73.487610787382,3477.27604203577,3477.27604203577,0,12.4520788136349,0
"40",2,1997,"Baja California",2262231,25581000,48990000,0,6716088000,123984000,12046000,11648000,0,236518000,237257000,101287000,0,10616342000,10616342000,10604694000,7226867000,3194.57517822008,104.877441782028,4692.86381452646,4692.86381452646,0,5.3248319910743,0
"41",2,1998,"Baja California",2337276,28958000,67858000,0,6286526000,267273000,55799000,22500000,0,313507000,322262000,148438000,0,14150885000,14150885000,14128385000,7083602000,3030.70839729668,137.879309076036,6054.43473513612,6054.43473513612,0,23.8735177189172,0
"42",2,1999,"Baja California",2412322,35780000,261353000,0,7812330000,283325000,73516000,0,0,399167000,559673000,145260000,0,17319541000,17319541000,17319541000,8901435000,3689.98624561729,232.005926240361,7179.61408137056,7179.61408137056,0,30.4752019009071,0
"43",2,2000,"Baja California",2487367,43278000,330724000,0,9353446000,322092000,177596000,0,0,613203000,1016991000,170997000,0,21843408000,21843408000,21843408000,10790462000,4338.10611783464,408.862463802085,8781.73908393896,8781.73908393896,0,71.3991944091885,0
"44",2,2001,"Baja California",2558787,64500868,291238000,0,0,344429000,0,404709858,0,680327000,550717012,141520000,0,13995726520,13995726520,13591016662,1457514000,569.611304106203,215.225812855857,5469.67235647203,5469.67235647203,0,0,0
"45",2,2002,"Baja California",2630208,65269998,380310000,0,403998000,397274000,0,0,0,752580840,736293755,64260000,0,15251900840,15251900840,15251900840,1998422840,759.796502786091,279.937463120787,5798.74323247439,5798.74323247439,0,0,0
"46",2,2003,"Baja California",2701628,43126403,379872734,0,718000,495527664,0,0,0,818534971,701581728,71786756,0,17041524078,17041524078,17041524078,1766440125,653.842840317024,259.688501895894,6307.87217115014,6307.87217115014,0,0,0
"47",2,2004,"Baja California",2773049,21822201,482854329,14350366,0,791524148,136914932,998155910,0,953337825,1171537323,132522560,5244529,19298446619,19298446619,18300290709,2374589228,856.309869749867,422.472636797979,6959.28799635347,6959.28799635347,1.89125002839834,49.3734268669612,0
"48",2,2005,"Baja California",2844469,16245466,566591882,32311935,0,734430694,0,106168877,0,1036449134,892404746,160146136,7133711,20764119385,20764119385,20657950508,2529929781,889.420760430154,313.733335114568,7299.82270328838,7299.82270328838,2.5079236230031,0,0
"49",2,2006,"Baja California",2906589,14146500,560005560,60150251,0,827925481,0,102242272,0,1134038433,1425975849,176997635,7597182,23322359783,23322359783,23220117511,2759117360,949.262988334436,490.601130397177,8023.96203350388,8023.96203350388,2.61377924433073,0,0
"50",2,2007,"Baja California",2968709,70818362,675557821,63100606,0,895627618,0,9.15e+08,0,1280240372,1301754112,174687889,10610459,24804389362,24804389362,23889389362,3089214306,1040.59182156284,438.491651421544,8355.27812325156,8355.27812325156,3.57409870755268,0,0
"51",2,2008,"Baja California",3030830,70300082,473145468,58767411,0,882888332,0,80000413,0,1326020384,814825557,246172879,11667435,27159227001,27159227001,27079226588,2986994474,985.536791571946,268.845681545979,8960.98659476117,8960.98659476117,3.84958410732374,0,0
"52",2,2009,"Baja California",3092950,81583466,304611652,91508692,0,767448368,0,262964857,0,1250609439,618816090,120229319,13868700,28515510308,28515510308,28252545451,2534407470,819.414303496662,200.073098498198,9219.51868216428,9219.51868216428,4.48397161286151,0,0
"53",2,2010,"Baja California",3155070,85193917,242076945,58181503,0,1126097745,0,1436316416,0,1380895979,1080681195,133716607,16885373,31857992165,31857992165,30421675749,2940968779,932.140579765267,342.522097766452,10097.3963065796,10097.3963065796,5.35182198810169,0,0
"54",2,2011,"Baja California",3216465,93120024,172452899,55506237,0,939141616,0,1.514e+09,0,1762861136,984145452,143840574,18011191,33789101182,33789101182,32275101182,3073802462,955.646171184826,305.971136636027,10505.042393435,10505.042393435,5.59968505797514,0,0
"55",2,2012,"Baja California",3277860,93256366,213905272,40543997,0,976043716,626688392,2765753603,0,2091220860,1942751008,165277094,18192813,36767964594,36767964594,34002210991,3486990939,1063.80105892259,592.688829907318,11217.0637531804,11217.0637531804,5.55021050319416,191.188272836546,0
"56",2,2013,"Baja California",3339255,86943177,693145188,62081429,0,947777420,258169458.5,2714707960,1265254,2169076993,2126038167,143909592,18221299,39263597831,39263597831,36548889871,4015990622,1202.66065993762,636.680387391798,11758.1909231251,11758.1909231251,5.45669587976959,77.3134901347756,0.378903078680724
"57",2,2014,"Baja California",3400650,88796763,695733090,23785150,0,966383552,133181763.5,2967956688,0,2366102792,624443066,231738518,18020719,41387804697,41387804697,38419848009,4283743102,1259.6836198962,183.624620587241,12170.5570102774,12170.5570102774,5.29919838854337,39.1636197491656,0
"58",2,2015,"Baja California",3462045,110087118,270366006,18149816,0,998534449,346303870,2356403594,0,2620659498,956251708,158046702,19009319,42142977522,42142977522,39786573928,4065756471,1174.3800184573,276.210074681294,12172.8566561093,12172.8566561093,5.4907775606614,100.028702688729,0
"59",2,2016,"Baja California",3523440,70277275,248037491,16869595,0,1067673317,140305301,2985796447,0,3003306866,919195224,165071334,21001416,50306834266,50306834266,47321037819,4500958603,1277.43302085462,260.880055854506,14277.7610136685,14277.7610136685,5.96048634289217,39.8205449787707,0
"60",2,2017,"Baja California",3584835,73283692,244985844,21588914,0,1121388408,0,2771795269,0,3805746339,1106638647,224341614,21528879,54717463072,54717463072,51945667803,5418051119,1511.38089172863,308.700023013611,15263.5931840657,15263.5931840657,6.00554251450904,0,0
"61",2,2018,"Baja California",3646230,88349938,240119114,18668174,0,1036498386,303037930,980005933,20380467,4060209192,1303460119,158283749,24200965,56409234719,56409234719,55429228786,5513778615,1512.18617997219,357.481595785236,15470.5640398439,15470.5640398439,6.63725683788461,83.1099327250338,5.58946281501715
"62",3,1989,"Baja California Sur",306218,0,242000,0,0,136000,0,12663000,0,729000,3995000,572000,0,112270000,112270000,99607000,1679000,5.48302189943112,13.0462611603498,366.634227902997,366.634227902997,0,0,0
"63",3,1990,"Baja California Sur",317764,0,389000,0,25913000,99000,0,2927000,0,3259000,2702077,197000,0,161468000,161468000,158541000,29857000,93.9596681814177,8.50340818972571,508.138115079115,508.138115079115,0,0,0
"64",3,1991,"Baja California Sur",329310,0,612000,0,40225000,150000,0,3288000,0,5336000,5350000,1715000,0,210320000,210320000,207032000,48038000,145.874707722207,16.2460903100422,638.668731590295,638.668731590295,0,0,0
"65",3,1992,"Baja California Sur",340856,0,5891000,0,53784000,160000,0,128256000,0,5627000,34782000,782000,0,381104000,381104000,252848000,66244000,194.345999483653,102.043091510785,1118.07918886568,1118.07918886568,0,0,0
"66",3,1993,"Baja California Sur",352402,0,936000,0,92400000,45000,0,350000,0,5016000,6511000,1684000,0,535799000,535799000,535449000,100081000,283.996685603373,18.476058592176,1520.41986140828,1520.41986140828,0,0,0
"67",3,1994,"Baja California Sur",363948,0,1068000,0,41400000,102000,0,57351000,0,9049000,11054000,3760000,0,634962000,634962000,577611000,55379000,152.161847296867,30.3724707925308,1744.65033466319,1744.65033466319,0,0,0
"68",3,1995,"Baja California Sur",375494,0,1152000,0,0,118000,0,158542000,0,8390000,8340000,7168000,0,776380000,776380000,617838000,16828000,44.815629544014,22.2107410504562,2067.62291807592,2067.62291807592,0,0,0
"69",3,1996,"Baja California Sur",385203,796000,1920000,0,0,2501000,0,1827000,0,10972000,10165000,7492000,0,1088136000,1088136000,1086309000,22885000,59.4102330459524,26.388683369548,2824.83781278962,2824.83781278962,0,0,0
"70",3,1997,"Baja California Sur",394913,1510000,2483462,0,0,3142768,0,88516000,0,22853726,11776000,13383804,0,1442317717,1442317717,1353801717,41863760,106.007551030227,29.8192260067407,3652.24167601472,3652.24167601472,0,0,0
"71",3,1998,"Baja California Sur",404622,1950265,6685498,0,0,2985884,70000,0,355569,40183695,30701081,32976557,0,2107979762,2107979762,2107979762,82831634,204.713619130942,75.87595583038,5209.75073525414,5209.75073525414,0,0.173000973748338,0.878768331924611
"72",3,1999,"Baja California Sur",414332,3548000,2524000,0,0,3645000,0,34836000,0,47003000,15515000,24771000,0,2384445000,2384445000,2349609000,77943000,188.117258623519,37.4458163984438,5754.91393375361,5754.91393375361,0,0,0
"73",3,2000,"Baja California Sur",424041,2613000,2338000,0,0,1838000,0,0,0,71613000,51594000,43264000,0,3160775000,3160775000,3160775000,119053000,280.758228567521,121.672196792291,7453.93723720112,7453.93723720112,0,0,0
"74",3,2001,"Baja California Sur",441667,3684653,43607000,0,0,1464000,0,118411000,0,100552000,62482776,41954000,624390,3618719000,3618719000,3500308000,187577000,424.70232097938,141.470329456355,8193.31985409822,8193.31985409822,1.41371214059461,0,0
"75",3,2002,"Baja California Sur",459293,2921000,5037972,34156958,0,835822,0,166917749,0,71908387,124175340,79637820,0,3982045549,3982045549,3815127800,191576959,417.112734137032,270.361925829481,8669.94608888008,8669.94608888008,0,0,0
"76",3,2003,"Baja California Sur",476918,5851000,7867290,32208414,70104469,1312410,0,100548073,0,104728370,232257000,88439242,362000,4510668175,4510668175,4410120102,304660195,638.810434917533,486.995668018401,9457.95330643842,9457.95330643842,0.759040338171342,0,0
"77",3,2004,"Baja California Sur",494544,5330000,78854954,25166220,125077584,1497193,5267520,266055000,0,120524568,179584280,114395835,780000,5267463584,5267463584,5001408584,465516354,941.304219644764,363.131045973665,10651.1525445663,10651.1525445663,1.57721052120742,10.6512666213724,0
"78",3,2005,"Baja California Sur",512170,5375071,132085147,0,36841069,3252451,4105193,195038295,3178213,207171952,258353057,49730820,781299,5867504916,5867504916,5672466621,429081439,837.771519222133,504.428328484683,11456.1667337017,11456.1667337017,1.52546810629283,8.01529375012203,6.20538688326142
"79",3,2006,"Baja California Sur",537141,5846994,224583256,0,51265511,49355098,13948525,110824377,32760134,279907162,604026213,37574702,1151799,6855496609,6855496609,6744672232,642685729,1196.49352590847,1124.52077387502,12762.9367503132,12762.9367503132,2.14431406278798,25.9680884534973,60.9898220392783
"80",3,2007,"Baja California Sur",562112,3456374,266252575,0,235974027,50886798,60645722,611059550,30995900,345074753,430157892,27553202,2007834,8409327872,8409327872,7798268322,925741355,1646.8984028094,765.252995844245,14960.235454856,14960.235454856,3.57194651599681,107.889036348628,55.1418578503928
"81",3,2008,"Baja California Sur",587084,3197526,324465763,0,0,50945000,3015758,4.55e+08,11340188,379462333,778150425,46724443,2744417,8741557246,8741557246,8286557246,801597539,1365.388153995,1325.44989303064,14889.7896144334,14889.7896144334,4.6746581409134,5.13684242800008,19.316125120085
"82",3,2009,"Baja California Sur",612055,7142001,967206302,0,0,44564990,0,414597598,14993717,354322566,672582043,44790603,5998438,9869553107,9869553107,9454955509,1410884461,2305.15960330362,1098.89150974994,16125.2715965068,16125.2715965068,9.80048851818873,0,24.4973360237234
"83",3,2010,"Baja California Sur",637026,3675594,552397965,0,0,43000643,221676,1061598174,1791367,362799151,336608158,20912316,3158974,9556311504,9556311504,8494713330,979110075,1537.00174718143,528.405682028677,15001.4465720394,15001.4465720394,4.95894045141015,0.347985796498102,2.81207831391497
"84",3,2011,"Baja California Sur",653168,3512290,447209052,0,0,58815787,0,2159478305,2772002,408181565,552660659,23808540,2392589,11014313983,11014313983,8854835678,938014944,1436.10058055508,846.123292935355,16862.9112004875,16862.9112004875,3.66305299708498,0,4.24393417926169
"85",3,2012,"Baja California Sur",669310,3419196,62416984,0,0,65714886,0,403738897,1892137,579679593,1272684740,33863408,2431103,11877937090,11877937090,11474198193,741674871,1108.11861618682,1901.48771122499,17746.540601515,17746.540601515,3.63225261836817,0,2.82699645903991
"86",3,2013,"Baja California Sur",685452,3453520,62449715,5008551,0,79144848,0,1759521040,0,648049346,741990007,32735910,2524072,12866432595,12866432595,11106911555,827388370,1207.06974376032,1082.48280988311,18770.7273375816,18770.7273375816,3.68234683099619,0,0
"87",3,2014,"Baja California Sur",701594,3178324,87522570,0,0,62271645,0,4.4e+08,0,594728926,663478192,24033864,1901378,13161402660,13161402660,12721402660,768557005,1095.44409587311,945.672557062917,18759.2862253668,18759.2862253668,2.71008303947867,0,0
"88",3,2015,"Baja California Sur",717736,4102553,64888937,49917025,0,75131784,423821,1941348874,0,652714445,1103667773,36971211,2232969,16305031401,16305031401,14363682527,879623402,1225.55285230224,1537.7071416231,22717.3102658916,22717.3102658916,3.11112860438936,0.590497062986948,0
"89",3,2016,"Baja California Sur",733879,4356940,88371838,0,0,392861507,0,1.44e+09,0,762953345,906010765,73610339,3332577,18423069084,18423069084,16983069084,1317797029,1795.65981449258,1234.55060711643,25103.6875070686,25103.6875070686,4.54104423208731,0,0
"90",3,2017,"Baja California Sur",750021,4856393,149266613,0,0,511261339,2822700,581400694,0,931540605,1633871840,71489624,4712918,17861795417,17861795417,17280394723,1663558181,2218.0154702335,2178.43479049253,23815.0604009754,23815.0604009754,6.28371472265443,3.76349462215058,0
"91",3,2018,"Baja California Sur",766163,21483197,216772000,0,0,493535594,0,594074976,0,975511143,1133238586,12691092,6513009,19115091194,19115091194,18521016218,1698509829,2216.90401259262,1479.1089963885,24949.1181302151,24949.1181302151,8.50081379549782,0,0
